"","N","prior","delta","lambda","delta_median","lambda_median","b0_median","b1_median","bf10","sdr10"
"1",30,2,0,0.333333333333333,1.60946600855893,0.504129073360685,0.0877302405571176,-0.183260606481184,0.317975552742144,0.326
"2",30,3,0,0.333333333333333,2.59826431289584,0.533301763216443,0.0855241326949098,-0.185901314827741,0.295191852629245,0.3
"3",30,4,0,0.333333333333333,4.17639327219027,0.559075860997132,0.0919903621367307,-0.186286045593245,0.277262685456277,0
"4",30,2,0,0.333333333333333,1.57732374531831,0.546395622787652,0.192744209631692,0.0450949345512452,0.237101422919372,0.272
"5",30,3,0,0.333333333333333,2.57269725369067,0.582912442678052,0.192325782990451,0.0451842096038755,0.215128421132848,0
"6",30,4,0,0.333333333333333,4.10261099129776,0.61613271942734,0.193346198878799,0.0455623552318439,0.197768312879961,0.08
"7",30,2,0,0.333333333333333,1.57631812396425,0.530171792067636,-0.282706388058453,-0.00613939724584739,0.241768306642008,0.319
"8",30,3,0,0.333333333333333,2.58191577103863,0.568620708011103,-0.282681667780321,-0.00616070616281834,0.22116703205329,0
"9",30,4,0,0.333333333333333,4.11567884416061,0.594576674191207,-0.28088119416114,-0.00616765323203386,0.205650766814362,0.402
"10",30,2,0,0.333333333333333,1.56001969348948,0.54199268967352,0.592266374656221,0.107622904539802,0.231428233177151,0.276
"11",30,3,0,0.333333333333333,2.54057625322484,0.586392312907959,0.586631631965573,0.10605162009406,0.211878921056236,0.232
"12",30,4,0,0.333333333333333,4.08603084440273,0.614755016535751,0.589612225857396,0.10643104792078,0.193877963598457,0.317
"13",30,2,0,0.333333333333333,1.67309543613134,0.316551220460779,0.0125312603625504,0.34105830932363,0.623007559028341,0.563
"14",30,3,0,0.333333333333333,2.61562741733817,0.32292102187546,0.0116397812042626,0.343090487357476,0.601727685176148,0
"15",30,4,0,0.333333333333333,4.06734206928745,0.333844069970592,0.0135410271164818,0.34188326986917,0.574969542728831,0.359
"16",30,2,0,0.333333333333333,1.56188865662843,0.561909742705267,0.170781049705098,0.0743096553529888,0.234424310434955,0.242
"17",30,3,0,0.333333333333333,2.59834951757723,0.603391442190572,0.172000721213866,0.0741533518524583,0.214180733400755,0.267
"18",30,4,0,0.333333333333333,4.17996767235303,0.630216652429821,0.168880306815006,0.0745633523958939,0.197680751414727,0
"19",30,2,0,0.333333333333333,1.7885952531824,0.246235258731594,0.382893493478228,0.00860577385790586,1.10096267084417,1.197
"20",30,3,0,0.333333333333333,2.72486867130619,0.248330478119755,0.389015215124625,0.00869490174770429,1.09365124779675,0
"21",30,4,0,0.333333333333333,4.19758906185768,0.241839489314757,0.38732785517598,0.008633675318285,1.0909674456084,0.545
"22",30,2,0,0.333333333333333,1.73003452630592,0.394634442892805,-0.093738717091506,0.224523875772887,0.492945274451818,0.464
"23",30,3,0,0.333333333333333,2.66777709917082,0.406368357756996,-0.092249707357717,0.22580145858621,0.469033914362097,0
"24",30,4,0,0.333333333333333,4.20792560145907,0.415755442952622,-0.0924923517656929,0.227677707565117,0.447692833065803,0.55
"25",30,2,0,0.333333333333333,1.57055353672294,0.543922164172061,0.0577618433322404,0.394495883200121,0.228382009427612,0.272
"26",30,3,0,0.333333333333333,2.57036103798763,0.577492645520684,0.059275828186464,0.400194108546219,0.206071781567967,0.29
