delta_true,N,order,replicate,log_bf10_bridge,bf10_bridge,bridge_alt_logml,bridge_null_logml
3,20,d0,1,1.6759378804420901,5.343804649416811,8.023258418497894,6.347320538055804
3,20,d1,1,1.817430030548989,6.156017326531808,8.162639367328111,6.3452093367791225
3,20,d2,1,1.870762847792041,6.493247870238236,8.211163497721758,6.340400649929717
3,20,d3,1,1.8591826398485285,6.4184884101614985,8.201444974682394,6.342262334833865
3,50,d0,1,13.203594309460815,542310.6707423326,34.875436627598845,21.67184231813803
3,50,d1,1,13.359099854750262,633553.5811661996,35.035833693995954,21.676733839245692
3,50,d2,1,13.412733565920206,668461.1548584223,35.07335227799521,21.660618712075006
3,50,d3,1,13.399098455430593,659408.4705820639,35.07301773061437,21.673919275183774
3,100,d0,1,31.984666446207036,77761412921857.89,71.23028953028887,39.245623084081835
3,100,d1,1,32.18371189877957,94887386467946.14,71.42053923086087,39.2368273320813
3,100,d2,1,32.259370098261954,102344951222170.61,71.49080046964772,39.23143037138577
3,100,d3,1,32.24648689511743,101034877517710.03,71.49367128489412,39.24718438977669
3,200,d0,1,59.44231207934516,6538349440541322e10,151.3528979000414,91.91058582069624
3,200,d1,1,59.628038028444976,7872775775362353e10,151.5353289696506,91.90729094120563
3,200,d2,1,59.73116769991505,8728036016455523e10,151.6217782693104,91.89061056939535
3,200,d3,1,59.71565218697508,859366120344938e11,151.61283919601232,91.89718700903724
3,20,d0,2,1.6773526635586924,5.351370324646055,8.02163259162479,6.344279928066098
3,20,d1,2,1.8089584707479887,6.104086535592039,8.15970337935077,6.350744908602781
3,20,d2,2,1.8657878784248316,6.461024382883126,8.21150779419961,6.345719915774779
3,20,d3,2,1.84214017506104,6.310028385648811,8.184501961422491,6.342361786361451
3,50,d0,2,13.201993673701185,541443.323228818,34.87371990208646,21.67172622838527
3,50,d1,2,13.367274522900711,638753.8979203149,35.04048309750749,21.67320857460678
3,50,d2,2,13.420751247872023,673842.206750624,35.09323495225646,21.672483704384437
3,50,d3,2,13.422241734796813,674847.3086086729,35.092326106778984,21.67008437198217
3,100,d0,2,32.00248007253086,79159037093162.98,71.23284214287403,39.230362070343176
3,100,d1,2,32.20197687202238,96636426503194.84,71.4343495318589,39.23237265983652
3,100,d2,2,32.25530767015548,101930025589184.36,71.48348504484274,39.228177374687256
