epsilon,prior0,post0,log_bf10,method,post0_mcse,delta_true,N,order,replicate
0.01,0.002746323504498009,3.3260514793191426e-7,9.018817623243367,logspline,NA,1,500,d0,1
0.02,0.0054926057662523144,8.039283344551711e-7,8.82940321058573,logspline,NA,1,500,d0,1
0.03,0.008238805544908143,1.4718240286009167e-6,8.630108186880758,logspline,NA,1,500,d0,1
0.04,0.0109848816048883,2.4182757861497057e-6,8.421220405703151,logspline,NA,1,500,d0,1
0.05,0.01373079271778126,3.759459652461189e-6,8.203120995654723,logspline,NA,1,500,d0,1
0.060000000000000005,0.016476497664728397,5.660004660600707e-6,7.976265544891224,logspline,NA,1,500,d0,1
0.06999999999999999,0.01922195523881009,8.353200887228426e-6,7.741163601542106,logspline,NA,1,500,d0,1
0.08,0.021967124247430476,1.21696355857269e-5,7.498358299396014,logspline,NA,1,500,d0,1
0.09,0.02471196351470038,1.7577772454439593e-5,7.248407583024469,logspline,NA,1,500,d0,1
0.09999999999999999,0.02745643188381845,2.5241455106270748e-5,6.9918680453837645,logspline,NA,1,500,d0,1
0.11,0.030200488219449886,3.6101393235380665e-5,6.729281911067267,logspline,NA,1,500,d0,1
0.12,0.032944091410102745,5.149063382977236e-5,6.461167280228684,logspline,NA,1,500,d0,1
0.13,0.03568720037050136,7.329819141035008e-5,6.188011435653513,logspline,NA,1,500,d0,1
0.14,0.03842977404395676,1.0420092275133096e-4,5.910266819004096,logspline,NA,1,500,d0,1
0.15000000000000002,0.04117177140473359,1.4798754791774463e-4,5.628380005895305,logspline,NA,1,500,d0,1
0.16,0.04391315146041354,2.0994474685016474e-4,5.343124746024198,logspline,NA,1,500,d0,1
0.17,0.04665387325425476,2.9728216346913596e-4,5.05582949764129,logspline,NA,1,500,d0,1
0.18000000000000002,0.04939389586754706,4.1962394107844677e-4,4.768223198304805,logspline,NA,1,500,d0,1
0.19,0.05213317842196275,5.894965700255131e-4,4.4822879454615645,logspline,NA,1,500,d0,1
0.2,0.054871680081902546,8.22710877155805e-4,4.2001478135227535,logspline,NA,1,500,d0,1
0.21000000000000002,0.057609360056836666,0.0011384873733126704,3.9239845396610398,logspline,NA,1,500,d0,1
0.22,0.060346177603640506,0.0015591244973816613,3.65597316430669,logspline,NA,1,500,d0,1
0.23,0.06308209202892474,0.002108981332280983,3.39823187623707,logspline,NA,1,500,d0,1
0.24000000000000002,0.06581706269135969,0.0028125680293892793,3.1527811606694094,logspline,NA,1,500,d0,1
0.25,0.06855104900399345,0.003691639118021144,2.9215081438000565,logspline,NA,1,500,d0,1
0.26,0.07128401043656375,0.00476138807719031,2.706132806131394,logspline,NA,1,500,d0,1
0.27,0.07401590651780321,0.00602623653791922,2.5081573302199707,logspline,NA,1,500,d0,1
0.28,0.07674669683773747,0.0074789467575209975,2.328418373342373,logspline,NA,1,500,d0,1
0.29000000000000004,0.07947634104997642,0.009105668108803451,2.1665622917942717,logspline,NA,1,500,d0,1
0.3,0.08220479887399783,0.01088964311263115,2.021401516438992,logspline,NA,1,500,d0,1
0.31,0.08493203009742345,0.012814314563720489,1.891288419333988,logspline,NA,1,500,d0,1
0.32,0.08765799457828682,0.014866278415541844,1.7743473629860287,logspline,NA,1,500,d0,1
0.33,0.09038265224729335,0.017037890124423923,1.6686126543179045,logspline,NA,1,500,d0,1
0.34,0.0931059631100714,0.019328182067109415,1.5721739912524986,logspline,NA,1,500,d0,1
0.35000000000000003,0.09582788724941517,0.021738415890852486,1.4834727283206706,logspline,NA,1,500,d0,1
0.36000000000000004,0.09854838482751818,0.024269572391628177,1.4013242433143798,logspline,NA,1,500,d0,1
0.37,0.1012674160881978,0.026922266504596108,1.3248110066311167,logspline,NA,1,500,d0,1
0.38,0.10398494135911003,0.02969673991158788,1.253208821536496,logspline,NA,1,500,d0,1
0.39,0.10670092105395497,0.03259285650006227,1.1859366518575785,logspline,NA,1,500,d0,1
0.4,0.10941531567467178,0.03561010070540267,1.122521551920713,logspline,NA,1,500,d0,1
0.41000000000000003,0.11212808581362389,0.038747578732819844,1.0625735716591962,logspline,NA,1,500,d0,1
0.42000000000000004,0.11483919215577354,0.042004022620359356,1.0057674303362611,logspline,NA,1,500,d0,1
0.43,0.11754859548084554,0.045377797071161505,0.9518288925178496,logspline,NA,1,500,d0,1
0.44,0.1202562566654803,0.04886690895170601,0.9005244792583216,logspline,NA,1,500,d0,1
0.45,0.12296213668537552,0.052469019323750594,0.8516535888600418,logspline,NA,1,500,d0,1
0.46,0.12566619661741654,0.0561814578514411,0.8050423873366801,logspline,NA,1,500,d0,1
0.47000000000000003,0.12836839764179495,0.06000123940195346,0.7605390179692438,logspline,NA,1,500,d0,1
0.48000000000000004,0.13106870104411555,0.06392508263827465,0.7180098072698206,logspline,NA,1,500,d0,1
0.49,0.13376706821749096,0.0679494303865163,0.6773362327460529,logspline,NA,1,500,d0,1
0.5,0.13646346066462398,0.07207047154758187,0.6384124795259327,logspline,NA,1,500,d0,1
0.51,0.1391578399998776,0.07628416431409883,0.6011434567422698,logspline,NA,1,500,d0,1
0.52,0.1418501679513319,0.08058626044824646,0.5654431761817592,logspline,NA,1,500,d0,1
0.53,0.1445404063628282,0.08497233037434727,0.531233418784267,logspline,NA,1,500,d0,1
0.54,0.14722851719599986,0.08943778884168428,0.4984426316343381,logspline,NA,1,500,d0,1
0.55,0.14991446253228985,0.09397792091774898,0.4670050108305373,logspline,NA,1,500,d0,1
0.56,0.15259820457495465,0.09858790807975679,0.4368597352370558,logspline,NA,1,500,d0,1
0.5700000000000001,0.155279705651054,0.10326285418250225,0.40795032345131055,logspline,NA,1,500,d0,1
0.5800000000000001,0.157958928213427,0.10799781109315093,0.38022409195552204,logspline,NA,1,500,d0,1
0.59,0.16063583484265387,0.11278780379804518,0.3536316967873191,logspline,NA,1,500,d0,1
0.6,0.16331038824900315,0.11762785480269845,0.3281267444755092,logspline,NA,1,500,d0,1
0.61,0.16598255127436423,0.12251300766351919,0.30366546067089784,logspline,NA,1,500,d0,1
0.62,0.16865228689416528,0.12743834950810526,0.2802064070278943,logspline,NA,1,500,d0,1
0.63,0.171319558219276,0.13239903241985304,0.2577102385874015,logspline,NA,1,500,d0,1
0.64,0.17398432849789494,0.13739029358181745,0.23613949527073755,logspline,NA,1,500,d0,1
0.65,0.17664656111742183,0.14240747409395052,0.21545842219073014,logspline,NA,1,500,d0,1
0.66,0.1793062196063141,0.14744603639677137,0.19563281437520577,logspline,NA,1,500,d0,1
0.67,0.18196326763592735,0.1525015802529273,0.1766298822228733,logspline,NA,1,500,d0,1
0.68,0.18461766902234059,0.15756985725580241,0.1584181346051512,logspline,NA,1,500,d0,1
0.6900000000000001,0.18726938772816468,0.16264678385111425,0.14096727701593337,logspline,NA,1,500,d0,1
0.7000000000000001,0.18991838786433443,0.16772845287317412,0.12424812257494129,logspline,NA,1,500,d0,1
0.7100000000000001,0.1925646336918852,0.17281114361204825,0.1082325140253062,logspline,NA,1,500,d0,1
0.72,0.1952080896237114,0.1778913304411558,0.09289325514510155,logspline,NA,1,500,d0,1
0.73,0.1978487202263096,0.1829656900468081,0.07820405022602785,logspline,NA,1,500,d0,1
0.74,0.20048649022150355,0.1880311073118092,0.06413945046834302,logspline,NA,1,500,d0,1
0.75,0.20312136448815293,0.1930846799144776,0.05067480630618961,logspline,NA,1,500,d0,1
0.76,0.2057533080638442,0.19812372171233092,0.03778622481691765,logspline,NA,1,500,d0,1
0.77,0.2083822861465646,0.20314576498623302,0.025450531486205727,logspline,NA,1,500,d0,1
0.78,0.21100826409635792,0.20814856162608267,0.01364523570127318,logspline,NA,1,500,d0,1
0.79,0.21363120743696332,0.2131300833431895,0.0023484994301369642,logspline,NA,1,500,d0,1
0.8,0.21625108185743552,0.21808852099741385,-0.008460891381931231,logspline,NA,1,500,d0,1
0.81,0.2188678532137475,0.22302228312902975,-0.018803553104897567,logspline,NA,1,500,d0,1
0.8200000000000001,0.22148148753037505,0.22792999378619375,-0.028699528757733968,logspline,NA,1,500,d0,1
0.8300000000000001,0.2240919510018628,0.23281048973897311,-0.03816831068953893,logspline,NA,1,500,d0,1
0.8400000000000001,0.226699209994372,0.23766281717019727,-0.04722886187423379,logspline,NA,1,500,d0,1
0.85,0.22930323104720982,0.24248622793206115,-0.055899636050743225,logspline,NA,1,500,d0,1
0.86,0.2319039808743399,0.24728017545552267,-0.06419859691096488,logspline,NA,1,500,d0,1
0.87,0.23450142636587423,0.2520443103972031,-0.072143236512293,logspline,NA,1,500,d0,1
0.88,0.23709553458954613,0.2567784761058251,-0.07975059306949077,logspline,NA,1,500,d0,1
0.89,0.23968627279216423,0.26148270270596063,-0.08703726336150802,logspline,NA,1,500,d0,1
0.9,0.2422736084010474,0.26615715405261975,-0.09401923831204255,logspline,NA,1,500,d0,1
0.91,0.24485750902544018,0.270802018481881,-0.10071154924615715,logspline,NA,1,500,d0,1
0.92,0.24743794245790948,0.2754174832639964,-0.1071282544208426,logspline,NA,1,500,d0,1
0.93,0.2500148766757213,0.2800037344838914,-0.1132825177280979,logspline,NA,1,500,d0,1
0.9400000000000001,0.2525882798421982,0.28456095704866813,-0.1191866801435385,logspline,NA,1,500,d0,1
0.9500000000000001,0.2551581203080574,0.28908933469506026,-0.12485232430972219,logspline,NA,1,500,d0,1
0.9600000000000001,0.25772436661272835,0.2935890499968403,-0.13029033302331255,logspline,NA,1,500,d0,1
0.97,0.2602869874856519,0.29806028437218113,-0.13551094229702298,logspline,NA,1,500,d0,1
0.98,0.2628459518475579,0.30250321809097025,-0.1405237895831545,logspline,NA,1,500,d0,1
