epsilon,prior0,post0,log_bf10,method,post0_mcse,delta_true,N,order,replicate
0.01,0.002746323504498009,0.0026773554513189746,0.025433574318188087,logspline,NA,2,20,d0,1
0.02,0.0054926057662523144,0.005373197348064351,0.021979640919821904,logspline,NA,2,20,d0,1
0.03,0.008238805544908143,0.008087653334350076,0.01851675619937841,logspline,NA,2,20,d0,1
0.04,0.0109848816048883,0.010820851935639753,0.015044920450541342,logspline,NA,2,20,d0,1
0.05,0.01373079271778126,0.01357292256483189,0.011564134084471177,logspline,NA,2,20,d0,1
0.060000000000000005,0.016476497664728397,0.01634399552838761,0.008074397629756815,logspline,NA,2,20,d0,1
0.06999999999999999,0.01922195523881009,0.01913420203250027,0.004575711732406527,logspline,NA,2,20,d0,1
0.08,0.021967124247430476,0.021943674189308038,0.0010680771558056767,logspline,NA,2,20,d0,1
0.09,0.02471196351470038,0.02477254502314924,-0.002448505219322479,logspline,NA,2,20,d0,1
0.09999999999999999,0.02745643188381845,0.02762094847686064,-0.0059740343949474806,logspline,NA,2,20,d0,1
0.11,0.030200488219449886,0.030489019418119656,-0.00950850925579283,logspline,NA,2,20,d0,1
0.12,0.032944091410102745,0.033376893645829964,-0.013051928569383362,logspline,NA,2,20,d0,1
0.13,0.03568720037050136,0.03628470789655158,-0.016604290986113216,logspline,NA,2,20,d0,1
0.14,0.03842977404395676,0.03921259985097503,-0.02016559503930658,logspline,NA,2,20,d0,1
0.15000000000000002,0.04117177140473359,0.042160708140440206,-0.023735839145290382,logspline,NA,2,20,d0,1
0.16,0.04391315146041354,0.04512917235350056,-0.02731502160347378,logspline,NA,2,20,d0,1
0.17,0.04665387325425476,0.04811813304253232,-0.030903140596431528,logspline,NA,2,20,d0,1
0.18000000000000002,0.04939389586754706,0.05112773173038937,-0.034500194189991645,logspline,NA,2,20,d0,1
0.19,0.05213317842196275,0.054158110917104374,-0.03810618033333377,logspline,NA,2,20,d0,1
0.2,0.054871680081902546,0.05720941408663566,-0.041721096859086176,logspline,NA,2,20,d0,1
0.21000000000000002,0.057609360056836666,0.060281785713660996,-0.045344941483431864,logspline,NA,2,20,d0,1
0.22,0.060346177603640506,0.06337537127041865,-0.048977711806226974,logspline,NA,2,20,d0,1
0.23,0.06308209202892474,0.06649031723359466,-0.05261940531110949,logspline,NA,2,20,d0,1
0.24000000000000002,0.06581706269135969,0.06962677109125887,-0.05627001936563052,logspline,NA,2,20,d0,1
0.25,0.06855104900399345,0.07278488134984795,-0.059929551221379516,logspline,NA,2,20,d0,1
0.26,0.07128401043656375,0.07596479754119684,-0.06359799801411682,logspline,NA,2,20,d0,1
0.27,0.07401590651780321,0.07916667022961943,-0.06727535676392177,logspline,NA,2,20,d0,1
0.28,0.07674669683773747,0.08239065101903664,-0.07096162437532694,logspline,NA,2,20,d0,1
0.29000000000000004,0.07947634104997642,0.08563689256015572,-0.07465679763748317,logspline,NA,2,20,d0,1
0.3,0.08220479887399783,0.08890554855769711,-0.07836087322430556,logspline,NA,2,20,d0,1
0.31,0.08493203009742345,0.0921967737776726,-0.08207384769464009,logspline,NA,2,20,d0,1
0.32,0.08765799457828682,0.09551072405471334,-0.08579571749243545,logspline,NA,2,20,d0,1
0.33,0.09038265224729335,0.09884755629944797,-0.08952647894690974,logspline,NA,2,20,d0,1
0.34,0.0931059631100714,0.10220742850593245,-0.0932661282727357,logspline,NA,2,20,d0,1
0.35000000000000003,0.09582788724941517,0.10559049975913076,-0.09701466157022187,logspline,NA,2,20,d0,1
0.36000000000000004,0.09854838482751818,0.10899693024244739,-0.10077207482550596,logspline,NA,2,20,d0,1
0.37,0.1012674160881978,0.11242688124531142,-0.10453836391074499,logspline,NA,2,20,d0,1
0.38,0.10398494135911003,0.11588051517081421,-0.10831352458432675,logspline,NA,2,20,d0,1
0.39,0.10670092105395497,0.11935799554339777,-0.11209755249106255,logspline,NA,2,20,d0,1
0.4,0.10941531567467178,0.12285948701659832,-0.11589044316241102,logspline,NA,2,20,d0,1
0.41000000000000003,0.11212808581362389,0.12638515538084183,-0.1196921920166879,logspline,NA,2,20,d0,1
0.42000000000000004,0.11483919215577354,0.12993516757129464,-0.12350279435929551,logspline,NA,2,20,d0,1
0.43,0.11754859548084554,0.13350969167576665,-0.12732224538294296,logspline,NA,2,20,d0,1
0.44,0.1202562566654803,0.1371088969426708,-0.13115054016788585,logspline,NA,2,20,d0,1
0.45,0.12296213668537552,0.14073295378903639,-0.13498767368216175,logspline,NA,2,20,d0,1
0.46,0.12566619661741654,0.14438203380857795,-0.1388336407818339,logspline,NA,2,20,d0,1
0.47000000000000003,0.12836839764179495,0.14805630977982065,-0.14268843621124566,logspline,NA,2,20,d0,1
0.48000000000000004,0.13106870104411555,0.1517559556742799,-0.14655205460326468,logspline,NA,2,20,d0,1
0.49,0.13376706821749096,0.1554811466646998,-0.15042449047955259,logspline,NA,2,20,d0,1
0.5,0.13646346066462398,0.15923205913334693,-0.15430573825082614,logspline,NA,2,20,d0,1
0.51,0.1391578399998776,0.16300887068036107,-0.15819579221712218,logspline,NA,2,20,d0,1
0.52,0.1418501679513319,0.1668117601321658,-0.1620946465680829,logspline,NA,2,20,d0,1
0.53,0.1445404063628282,0.17064090751918623,-0.1660022952030352,logspline,NA,2,20,d0,1
0.54,0.14722851719599986,0.17449648654815791,-0.16991868856282716,logspline,NA,2,20,d0,1
0.55,0.14991446253228985,0.17837863053117806,-0.1738435472958961,logspline,NA,2,20,d0,1
0.56,0.15259820457495465,0.1822874149565183,-0.17777629128738875,logspline,NA,2,20,d0,1
0.5700000000000001,0.155279705651054,0.18622285542165076,-0.18171606067781107,logspline,NA,2,20,d0,1
0.5800000000000001,0.157958928213427,0.19018490602136615,-0.18566173728630964,logspline,NA,2,20,d0,1
0.59,0.16063583484265387,0.1941734577386474,-0.18961196399025196,logspline,NA,2,20,d0,1
0.6,0.16331038824900315,0.1981883368481434,-0.1935651623366757,logspline,NA,2,20,d0,1
0.61,0.16598255127436423,0.20222930334250927,-0.19751954862367885,logspline,NA,2,20,d0,1
0.62,0.16865228689416528,0.20629604939229396,-0.20147314865791804,logspline,NA,2,20,d0,1
