delta_true,N,order,replicate
0,20,d0,1
0,20,d1,1
0,20,d2,1
0,20,d3,1
0,50,d0,1
0,50,d1,1
0,50,d2,1
0,50,d3,1
0,100,d0,1
0,100,d1,1
0,100,d2,1
0,100,d3,1
0,200,d0,1
0,200,d1,1
0,200,d2,1
0,200,d3,1
0,20,d0,2
0,20,d1,2
0,20,d2,2
0,20,d3,2
0,50,d0,2
0,50,d1,2
0,50,d2,2
0,50,d3,2
0,100,d0,2
0,100,d1,2
0,100,d2,2
0,100,d3,2
0,200,d0,2
0,200,d1,2
0,200,d2,2
0,200,d3,2
0,20,d0,3
0,20,d1,3
0,20,d2,3
0,20,d3,3
0,50,d0,3
0,50,d1,3
0,50,d2,3
0,50,d3,3
0,100,d0,3
0,100,d1,3
0,100,d2,3
0,100,d3,3
0,200,d0,3
0,200,d1,3
0,200,d2,3
0,200,d3,3
0,20,d0,4
0,20,d1,4
0,20,d2,4
0,20,d3,4
0,50,d0,4
0,50,d1,4
0,50,d2,4
0,50,d3,4
0,100,d0,4
0,100,d1,4
0,100,d2,4
0,100,d3,4
0,200,d0,4
0,200,d1,4
0,200,d2,4
0,200,d3,4
0,20,d0,5
0,20,d1,5
0,20,d2,5
0,20,d3,5
0,50,d0,5
0,50,d1,5
0,50,d2,5
0,50,d3,5
0,100,d0,5
0,100,d1,5
0,100,d2,5
0,100,d3,5
0,200,d0,5
0,200,d1,5
0,200,d2,5
0,200,d3,5
0,20,d0,6
0,20,d1,6
0,20,d2,6
0,20,d3,6
0,50,d0,6
0,50,d1,6
0,50,d2,6
0,50,d3,6
0,100,d0,6
0,100,d1,6
0,100,d2,6
0,100,d3,6
0,200,d0,6
0,200,d1,6
0,200,d2,6
0,200,d3,6
0,20,d0,7
0,20,d1,7
0,20,d2,7
0,20,d3,7
0,50,d0,7
0,50,d1,7
0,50,d2,7
0,50,d3,7
0,100,d0,7
0,100,d1,7
0,100,d2,7
0,100,d3,7
0,200,d0,7
0,200,d1,7
0,200,d2,7
0,200,d3,7
0,20,d0,8
0,20,d1,8
0,20,d2,8
0,20,d3,8
0,50,d0,8
0,50,d1,8
0,50,d2,8
0,50,d3,8
0,100,d0,8
0,100,d1,8
0,100,d2,8
0,100,d3,8
0,200,d0,8
0,200,d1,8
0,200,d2,8
0,200,d3,8
0,20,d0,9
0,20,d1,9
0,20,d2,9
0,20,d3,9
0,50,d0,9
0,50,d1,9
0,50,d2,9
0,50,d3,9
0,100,d0,9
0,100,d1,9
0,100,d2,9
0,100,d3,9
0,200,d0,9
0,200,d1,9
0,200,d2,9
0,200,d3,9
0,20,d0,10
0,20,d1,10
0,20,d2,10
0,20,d3,10
0,50,d0,10
0,50,d1,10
0,50,d2,10
0,50,d3,10
0,100,d0,10
0,100,d1,10
0,100,d2,10
0,100,d3,10
0,200,d0,10
0,200,d1,10
0,200,d2,10
0,200,d3,10
0,20,d0,11
0,20,d1,11
0,20,d2,11
0,20,d3,11
0,50,d0,11
0,50,d1,11
0,50,d2,11
0,50,d3,11
0,100,d0,11
0,100,d1,11
0,100,d2,11
0,100,d3,11
0,200,d0,11
0,200,d1,11
0,200,d2,11
0,200,d3,11
0,20,d0,12
0,20,d1,12
0,20,d2,12
0,20,d3,12
0,50,d0,12
0,50,d1,12
0,50,d2,12
0,50,d3,12
0,100,d0,12
0,100,d1,12
0,100,d2,12
0,100,d3,12
0,200,d0,12
0,200,d1,12
0,200,d2,12
0,200,d3,12
0,20,d0,13
0,20,d1,13
0,20,d2,13
0,20,d3,13
0,50,d0,13
0,50,d1,13
0,50,d2,13
0,50,d3,13
0,100,d0,13
0,100,d1,13
0,100,d2,13
0,100,d3,13
0,200,d0,13
0,200,d1,13
0,200,d2,13
0,200,d3,13
0,20,d0,14
0,20,d1,14
0,20,d2,14
0,20,d3,14
0,50,d0,14
0,50,d1,14
0,50,d2,14
0,50,d3,14
0,100,d0,14
0,100,d1,14
0,100,d2,14
0,100,d3,14
0,200,d0,14
0,200,d1,14
0,200,d2,14
0,200,d3,14
0,20,d0,15
0,20,d1,15
0,20,d2,15
0,20,d3,15
0,50,d0,15
0,50,d1,15
0,50,d2,15
0,50,d3,15
0,100,d0,15
0,100,d1,15
0,100,d2,15
0,100,d3,15
0,200,d0,15
0,200,d1,15
0,200,d2,15
0,200,d3,15
0,20,d0,16
0,20,d1,16
0,20,d2,16
0,20,d3,16
0,50,d0,16
0,50,d1,16
0,50,d2,16
0,50,d3,16
0,100,d0,16
0,100,d1,16
0,100,d2,16
0,100,d3,16
0,200,d0,16
0,200,d1,16
0,200,d2,16
0,200,d3,16
0,20,d0,17
0,20,d1,17
0,20,d2,17
0,20,d3,17
0,50,d0,17
0,50,d1,17
0,50,d2,17
0,50,d3,17
0,100,d0,17
0,100,d1,17
0,100,d2,17
0,100,d3,17
0,200,d0,17
0,200,d1,17
0,200,d2,17
0,200,d3,17
0,20,d0,18
0,20,d1,18
0,20,d2,18
0,20,d3,18
0,50,d0,18
0,50,d1,18
0,50,d2,18
0,50,d3,18
0,100,d0,18
0,100,d1,18
0,100,d2,18
0,100,d3,18
0,200,d0,18
0,200,d1,18
0,200,d2,18
0,200,d3,18
0,20,d0,19
0,20,d1,19
0,20,d2,19
0,20,d3,19
0,50,d0,19
0,50,d1,19
0,50,d2,19
0,50,d3,19
0,100,d0,19
0,100,d1,19
0,100,d2,19
0,100,d3,19
0,200,d0,19
0,200,d1,19
0,200,d2,19
0,200,d3,19
0,20,d0,20
0,20,d1,20
0,20,d2,20
0,20,d3,20
0,50,d0,20
0,50,d1,20
0,50,d2,20
0,50,d3,20
0,100,d0,20
0,100,d1,20
0,100,d2,20
0,100,d3,20
0,200,d0,20
0,200,d1,20
0,200,d2,20
0,200,d3,20
0,20,d0,21
0,20,d1,21
