delta_true,N,order,replicate,draw_id,delta_draw
3,20,d0,1,1,2.112199459749957
3,20,d0,1,6,2.839566600632747
3,20,d0,1,11,0.5468150220888417
3,20,d0,1,16,2.513459033799063
3,20,d0,1,21,1.9630863417218931
3,20,d0,1,26,5.080072185596896
3,20,d0,1,31,1.231589345735341
3,20,d0,1,36,2.407198903934062
3,20,d0,1,41,1.7494050487274522
3,20,d0,1,46,0.34495098081341746
3,20,d0,1,51,0.9135427237207634
3,20,d0,1,56,3.103369362658306
3,20,d0,1,61,2.3867001473164353
3,20,d0,1,66,0.8532084992913417
3,20,d0,1,71,4.121234759957496
3,20,d0,1,76,3.6640257832905374
3,20,d0,1,81,1.7367801814926065
3,20,d0,1,86,3.5489867508624093
3,20,d0,1,91,2.2044405087245416
3,20,d0,1,96,1.2680401790419829
3,20,d0,1,101,4.152737765702427
3,20,d0,1,106,3.3463615734415515
3,20,d0,1,111,1.7206320356354512
3,20,d0,1,116,2.501596669985928
3,20,d0,1,121,4.363497814881929
3,20,d0,1,126,1.4498203914634353
3,20,d0,1,131,1.091749607319354
3,20,d0,1,136,1.8135168419282743
3,20,d0,1,141,1.3253138042443646
3,20,d0,1,146,3.882852513645733
3,20,d0,1,151,2.369174506290642
3,20,d0,1,156,1.7324044159896712
3,20,d0,1,161,9.517432780329017
3,20,d0,1,166,3.1236809414394116
3,20,d0,1,171,1.092521407948786
3,20,d0,1,176,0.42383522608030877
3,20,d0,1,181,4.2982442132414125
3,20,d0,1,186,4.256504832354198
3,20,d0,1,191,3.3948221314797586
3,20,d0,1,196,5.613411396921082
3,20,d0,1,201,2.150682429724746
3,20,d0,1,206,2.688277883616901
3,20,d0,1,211,0.6376418476235183
3,20,d0,1,216,3.210641292323423
3,20,d0,1,221,3.972661700762468
3,20,d0,1,226,1.4385313301429843
3,20,d0,1,231,0.8449988243509218
3,20,d0,1,236,2.575633035116196
3,20,d0,1,241,1.156653884817463
3,20,d0,1,246,1.4085997125568643
3,20,d0,1,251,3.06914801521828
3,20,d0,1,256,0.9182838975848092
3,20,d0,1,261,1.9734151281819898
3,20,d0,1,266,2.9553437560030003
3,20,d0,1,271,1.5204678556714843
3,20,d0,1,276,1.9864394819788325
3,20,d0,1,281,1.7279127636407514
3,20,d0,1,286,0.7183892916851169
3,20,d0,1,291,0.6693806395861087
3,20,d0,1,296,2.227376961139238
3,20,d0,1,301,1.6871377137498103
3,20,d0,1,306,2.664040288684544
3,20,d0,1,311,2.6550409199366203
3,20,d0,1,316,3.5548512172840203
3,20,d0,1,321,6.313968542222548
3,20,d0,1,326,1.8968360642956732
3,20,d0,1,331,5.997178272098693
3,20,d0,1,336,1.8637268831456097
3,20,d0,1,341,2.1885445066189404
3,20,d0,1,346,1.1271941266105439
3,20,d0,1,351,2.3800326528764675
3,20,d0,1,356,5.6933796941938235
3,20,d0,1,361,1.4401610323124512
3,20,d0,1,366,0.7961351523606316
3,20,d0,1,371,2.087374962435096
3,20,d0,1,376,4.925690257095897
3,20,d0,1,381,0.8670666485980999
3,20,d0,1,386,5.449593439436131
3,20,d0,1,391,1.9458596769961853
3,20,d0,1,396,0.9214310650696574
3,20,d0,1,401,3.052230213742335
3,20,d0,1,406,2.7717982123384997
3,20,d0,1,411,3.0378851249625187
3,20,d0,1,416,3.402048556009727
3,20,d0,1,421,1.3009675758149146
3,20,d0,1,426,2.1459328437407916
3,20,d0,1,431,2.6577834340954163
3,20,d0,1,436,3.021104876210352
3,20,d0,1,441,1.1455064891282203
3,20,d0,1,446,2.7347095272600126
3,20,d0,1,451,3.9506276258043544
3,20,d0,1,456,2.1951366157418892
3,20,d0,1,461,3.5963455189662175
3,20,d0,1,466,3.3569672451861856
3,20,d0,1,471,1.5683352414102198
3,20,d0,1,476,1.6059483895710982
3,20,d0,1,481,2.9041476433973803
3,20,d0,1,486,1.206243729701924
3,20,d0,1,491,2.763694468638473
3,20,d0,1,496,1.4830745171518198
3,20,d0,1,501,2.5819599424820336
3,20,d0,1,506,1.1014242764866837
3,20,d0,1,511,1.758345128330979
3,20,d0,1,516,2.2225611695124545
3,20,d0,1,521,4.792840453468126
3,20,d0,1,526,3.948048423729099
3,20,d0,1,531,2.1850760047058846
3,20,d0,1,536,2.3809591294054666
3,20,d0,1,541,2.3778128889579864
3,20,d0,1,546,1.849937089082039
3,20,d0,1,551,3.2328334270336545
3,20,d0,1,556,1.62878396181447
3,20,d0,1,561,3.215409997659208
3,20,d0,1,566,4.106482878557249
3,20,d0,1,571,3.6176405810372105
3,20,d0,1,576,1.1817071513159128
3,20,d0,1,581,6.016680885451664
3,20,d0,1,586,2.917726051423726
3,20,d0,1,591,2.8716631719738794
3,20,d0,1,596,2.9920128633995255
3,20,d0,1,601,4.059891751583015
3,20,d0,1,606,2.241037334054021
3,20,d0,1,611,2.4666488674533467
3,20,d0,1,616,3.961952440598968
3,20,d0,1,621,3.424535853241484
3,20,d0,1,626,0.4829706896097787
3,20,d0,1,631,4.767776170574927
3,20,d0,1,636,1.712361862510641
3,20,d0,1,641,1.4177724159761769
3,20,d0,1,646,0.8232200488945172
3,20,d0,1,651,0.9995617139542504
3,20,d0,1,656,1.9961166444003247
3,20,d0,1,661,2.608918846496748
3,20,d0,1,666,1.7523863474036359
3,20,d0,1,671,0.028220599027768214
3,20,d0,1,676,1.2666983240790632
3,20,d0,1,681,1.9016140107289041
3,20,d0,1,686,4.394268178260031
3,20,d0,1,691,1.1182239880002312
3,20,d0,1,696,4.997313896778137
3,20,d0,1,701,2.0363362590121135
3,20,d0,1,706,0.4598856323250475
3,20,d0,1,711,7.759306921406931
3,20,d0,1,716,2.0790664098478477
3,20,d0,1,721,1.6347106845964317
3,20,d0,1,726,1.0052570592759427
3,20,d0,1,731,3.7471455584317046
3,20,d0,1,736,1.31876707648134
3,20,d0,1,741,4.0766934797114285
3,20,d0,1,746,0.9110041453241209
3,20,d0,1,751,7.375677456987441
3,20,d0,1,756,3.196288814603748
3,20,d0,1,761,0.6121027802254252
3,20,d0,1,766,0.3555219866306227
3,20,d0,1,771,4.203072293418523
3,20,d0,1,776,3.764470571606486
3,20,d0,1,781,1.9440383808127788
3,20,d0,1,786,2.0032343640590007
3,20,d0,1,791,4.679954316471645
3,20,d0,1,796,0.5254039782022809
3,20,d0,1,801,2.4565490575286195
3,20,d0,1,806,3.6490817303915684
3,20,d0,1,811,1.9069087054185103
3,20,d0,1,816,5.120995774420615
3,20,d0,1,821,6.237552310923446
3,20,d0,1,826,3.439753756991909
3,20,d0,1,831,1.6789914897257792
3,20,d0,1,836,4.029039428028102
3,20,d0,1,841,1.3137853986456869
3,20,d0,1,846,1.0735729781446708
3,20,d0,1,851,4.066857854476949
3,20,d0,1,856,2.3521469265894344
3,20,d0,1,861,2.7893891386130507
3,20,d0,1,866,2.1180633990350675
3,20,d0,1,871,1.8495573590107328
3,20,d0,1,876,1.3739268900529462
3,20,d0,1,881,2.514238987253562
3,20,d0,1,886,1.6974205366650181
3,20,d0,1,891,3.197499503819816
3,20,d0,1,896,1.8682988185007097
3,20,d0,1,901,6.536227441002367
3,20,d0,1,906,1.9398906413648551
3,20,d0,1,911,1.9715730237979083
3,20,d0,1,916,4.360602073073354
3,20,d0,1,921,2.5050879972895506
3,20,d0,1,926,0.7215435159886981
3,20,d0,1,931,2.5340223135585678
3,20,d0,1,936,3.969681483370061
3,20,d0,1,941,1.2898500353594697
3,20,d0,1,946,1.0921724844343712
3,20,d0,1,951,3.714003849900178
3,20,d0,1,956,1.6292846981428863
3,20,d0,1,961,2.8835839772650056
3,20,d0,1,966,2.092446563961331
3,20,d0,1,971,1.6930312143434838
3,20,d0,1,976,2.0214229652014386
3,20,d0,1,981,0.012743935203478662
3,20,d0,1,986,1.6077696919075737
3,20,d0,1,991,1.3389418640576902
3,20,d0,1,996,1.0005064844829454
3,20,d0,1,1001,1.0149957500952769
3,20,d0,1,1006,1.94806270956598
3,20,d0,1,1011,1.376477368138796
3,20,d0,1,1016,2.7903486742181722
3,20,d0,1,1021,1.8570141258095527
3,20,d0,1,1026,0.5933424120498522
3,20,d0,1,1031,5.190403476308189
3,20,d0,1,1036,0.9857283564945749
3,20,d0,1,1041,3.3109428456775465
3,20,d0,1,1046,1.425684952042159
3,20,d0,1,1051,5.163840250721739
3,20,d0,1,1056,3.506221341670226
3,20,d0,1,1061,2.955621462541811
3,20,d0,1,1066,0.6600730415978228
3,20,d0,1,1071,4.7495471589589195
3,20,d0,1,1076,2.4046721848480295
3,20,d0,1,1081,3.358169148847073
3,20,d0,1,1086,2.302303805654071
3,20,d0,1,1091,2.951532399467605
3,20,d0,1,1096,0.905449489045701
3,20,d0,1,1101,2.8199129129178835
3,20,d0,1,1106,1.8879360903634372
3,20,d0,1,1111,4.474675626706991
3,20,d0,1,1116,3.4253146549991387
3,20,d0,1,1121,3.167309839639218
3,20,d0,1,1126,6.127735913112882
3,20,d0,1,1131,1.7020946006206108
3,20,d0,1,1136,2.746348887469334
3,20,d0,1,1141,2.8157499530299055
3,20,d0,1,1146,1.344394584060479
3,20,d0,1,1151,3.608047985363817
3,20,d0,1,1156,0.891447508766315
3,20,d0,1,1161,3.3364975907352217
3,20,d0,1,1166,3.480282822720857
3,20,d0,1,1171,2.030539316101197
3,20,d0,1,1176,1.070640585033614
3,20,d0,1,1181,8.882530998996153
3,20,d0,1,1186,1.462389833365806
3,20,d0,1,1191,3.3121367425638137
3,20,d0,1,1196,6.412245144884682
3,20,d0,1,1201,3.098411881666975
3,20,d0,1,1206,2.586813180005674
3,20,d0,1,1211,2.4499352502694522
3,20,d0,1,1216,6.349577061219611
3,20,d0,1,1221,1.6681214307890277
3,20,d0,1,1226,3.138109395060081
3,20,d0,1,1231,2.6335446692519153
3,20,d0,1,1236,2.72547548176064
3,20,d0,1,1241,1.3720604734371715
3,20,d0,1,1246,1.299513995978584
3,20,d0,1,1251,1.315342300919881
3,20,d0,1,1256,3.9366946673453347
3,20,d0,1,1261,1.3412199634621358
3,20,d0,1,1266,1.548225136070186
3,20,d0,1,1271,0.3217045193473944
3,20,d0,1,1276,2.5115541161275563
3,20,d0,1,1281,3.681786512129705
3,20,d0,1,1286,1.874019171922704
3,20,d0,1,1291,2.755593421102727
3,20,d0,1,1296,1.2896547681390198
3,20,d0,1,1301,2.724513536742493
3,20,d0,1,1306,1.667618306743499
3,20,d0,1,1311,1.5011429124469
3,20,d0,1,1316,1.0851319222181588
3,20,d0,1,1321,2.101267727492114
3,20,d0,1,1326,2.254660424590631
3,20,d0,1,1331,3.9697320465673465
3,20,d0,1,1336,1.2575891172705773
3,20,d0,1,1341,1.9070269620571645
3,20,d0,1,1346,2.1177933177436192
3,20,d0,1,1351,1.3899020768349104
3,20,d0,1,1356,2.410180275628325
3,20,d0,1,1361,3.0901030436611294
3,20,d0,1,1366,3.6302722619641914
3,20,d0,1,1371,1.0806284316575256
3,20,d0,1,1376,2.703648649866083
3,20,d0,1,1381,2.0231375014623376
3,20,d0,1,1386,0.8844782888248457
3,20,d0,1,1391,1.6343256215223807
3,20,d0,1,1396,2.1885675268330202
3,20,d0,1,1401,6.355307249886834
3,20,d0,1,1406,2.295510856376553
3,20,d0,1,1411,4.026183987413233
3,20,d0,1,1416,1.5944772232898918
3,20,d0,1,1421,2.6706500536226754
3,20,d0,1,1426,2.041322131204626
3,20,d0,1,1431,1.195926669733953
3,20,d0,1,1436,2.224313357265783
3,20,d0,1,1441,1.0287757190646816
3,20,d0,1,1446,2.2701504803693733
3,20,d0,1,1451,4.334476461963017
3,20,d0,1,1456,3.361065116037076
3,20,d0,1,1461,1.0477962018693803
3,20,d0,1,1466,1.5817220134283236
3,20,d0,1,1471,0.7607103128732307
3,20,d0,1,1476,0.2980938124408641
3,20,d0,1,1481,1.2870379239994851
3,20,d0,1,1486,0.9309894262639997
3,20,d0,1,1491,0.2373203064171808
3,20,d0,1,1496,0.7988876329070006
3,20,d0,1,1501,0.39380468164682114
3,20,d0,1,1506,2.32971149692387
3,20,d0,1,1511,0.9742001829650011
3,20,d0,1,1516,5.515039393591116
3,20,d0,1,1521,3.000713963671905
3,20,d0,1,1526,0.7515806420960783
3,20,d0,1,1531,2.3098487596834967
3,20,d0,1,1536,3.6901803131402082
3,20,d0,1,1541,2.0583617918955213
3,20,d0,1,1546,1.158683441704014
3,20,d0,1,1551,1.3867757516725456
3,20,d0,1,1556,4.4699211342722815
3,20,d0,1,1561,2.0615143699772083
3,20,d0,1,1566,0.8919846185962014
3,20,d0,1,1571,0.9754256600821831
3,20,d0,1,1576,4.034295956639611
3,20,d0,1,1581,2.3702657628658574
3,20,d0,1,1586,1.3496897477278336
3,20,d0,1,1591,2.1085573386632235
3,20,d0,1,1596,0.9084124285998512
3,20,d0,1,1601,1.5856981786530093
3,20,d0,1,1606,2.080033096692658
3,20,d0,1,1611,6.190406884100601
3,20,d0,1,1616,1.9690355832074036
3,20,d0,1,1621,0.9626217372111223
3,20,d0,1,1626,2.5981940533515577
3,20,d0,1,1631,3.1689298052669344
3,20,d0,1,1636,2.29623663794985
3,20,d0,1,1641,1.8847294393973975
3,20,d0,1,1646,5.239876796545651
3,20,d0,1,1651,2.179088851611316
3,20,d0,1,1656,3.6285460696138263
3,20,d0,1,1661,1.9585706870082613
3,20,d0,1,1666,2.6647966628712663
3,20,d0,1,1671,1.133281660492749
3,20,d0,1,1676,2.67013693978822
3,20,d0,1,1681,1.431609600423383
3,20,d0,1,1686,1.199789579627643
3,20,d0,1,1691,8.261473617376781
3,20,d0,1,1696,3.765931028113948
3,20,d0,1,1701,0.7717773690188356
3,20,d0,1,1706,1.3296385580491505
3,20,d0,1,1711,1.722003689070766
3,20,d0,1,1716,2.187240603094924
3,20,d0,1,1721,0.792529013546175
3,20,d0,1,1726,3.6000688835473493
3,20,d0,1,1731,1.7288401906624125
3,20,d0,1,1736,3.104562285120867
3,20,d0,1,1741,0.7080771194938357
3,20,d0,1,1746,0.41458477881575756
3,20,d0,1,1751,1.3217685190114088
3,20,d0,1,1756,2.061842662001623
3,20,d0,1,1761,1.7963894854440137
3,20,d0,1,1766,0.8358430963523656
3,20,d0,1,1771,7.0678636885789885
3,20,d0,1,1776,2.070274339153628
3,20,d0,1,1781,3.7925570603878684
3,20,d0,1,1786,1.8346448908658228
3,20,d0,1,1791,3.6849308033093178
3,20,d0,1,1796,1.956766747325609
3,20,d0,1,1801,0.6937536148335205
3,20,d0,1,1806,3.610822764062092
3,20,d0,1,1811,0.4481954737020667
3,20,d0,1,1816,0.1913829077927736
3,20,d0,1,1821,1.9113586166345562
3,20,d0,1,1826,3.7080828651722877
3,20,d0,1,1831,1.5848715026862514
3,20,d0,1,1836,2.394058542727454
3,20,d0,1,1841,1.3178595570540492
3,20,d0,1,1846,1.561052072999503
3,20,d0,1,1851,3.177588822545352
3,20,d0,1,1856,1.9347060469814716
3,20,d0,1,1861,3.5573109246048027
3,20,d0,1,1866,4.030114481283056
3,20,d0,1,1871,0.8484043605722897
3,20,d0,1,1876,3.795230675909937
3,20,d0,1,1881,1.192279413697724
3,20,d0,1,1886,3.456319771026378
3,20,d0,1,1891,0.967379935019048
3,20,d0,1,1896,1.761534737990771
3,20,d0,1,1901,2.26678880916694
3,20,d0,1,1906,1.4105231629960577
3,20,d0,1,1911,5.913082389226731
3,20,d0,1,1916,4.966266302447784
3,20,d0,1,1921,1.445741797853484
3,20,d0,1,1926,2.881710144610863
3,20,d0,1,1931,2.560652064124824
3,20,d0,1,1936,8.367365102387192
3,20,d0,1,1941,2.128908643929183
3,20,d0,1,1946,2.6678554712060984
3,20,d0,1,1951,2.464843632377654
3,20,d0,1,1956,1.8892347944941164
3,20,d0,1,1961,1.6387107285843938
3,20,d0,1,1966,0.9624963288438215
3,20,d0,1,1971,1.4472402251067926
3,20,d0,1,1976,2.507379500769654
3,20,d0,1,1981,2.7076858829051056
3,20,d0,1,1986,1.6795032029895742
3,20,d0,1,1991,0.6719300707082027
3,20,d0,1,1996,1.1666728394063217
3,20,d0,1,2001,4.9067995952669365
3,20,d0,1,2006,2.2283545004585843
3,20,d0,1,2011,3.378525795806808
3,20,d0,1,2016,1.5670315691287295
3,20,d0,1,2021,2.116322487267119
3,20,d0,1,2026,2.2540554629932705
3,20,d0,1,2031,0.8370673750352613
3,20,d0,1,2036,2.1492263618553453
3,20,d0,1,2041,4.2620008961540155
3,20,d0,1,2046,2.271337101096178
3,20,d0,1,2051,1.913643779883968
3,20,d0,1,2056,0.7225719791488247
3,20,d0,1,2061,0.8742090830370852
3,20,d0,1,2066,1.5036086801666757
3,20,d0,1,2071,5.180644117783377
3,20,d0,1,2076,3.540017333052007
3,20,d0,1,2081,2.9923308324815014
3,20,d0,1,2086,4.035193114183169
3,20,d0,1,2091,3.684213734024061
3,20,d0,1,2096,3.7597196529442494
3,20,d0,1,2101,9.30554401665634
3,20,d0,1,2106,3.049249780863839
3,20,d0,1,2111,1.7991005345521947
3,20,d0,1,2116,2.3188087402695348
3,20,d0,1,2121,4.9552134508884125
3,20,d0,1,2126,2.5470392336753402
3,20,d0,1,2131,2.7062764806832096
3,20,d0,1,2136,5.884167972757839
3,20,d0,1,2141,2.9041228663759897
3,20,d0,1,2146,2.256483120620275
3,20,d0,1,2151,1.1391579419610776
3,20,d0,1,2156,2.356137215946589
3,20,d0,1,2161,2.2566565748779364
3,20,d0,1,2166,5.8833769174117325
3,20,d0,1,2171,2.181384993979781
3,20,d0,1,2176,0.7443895611577163
3,20,d0,1,2181,1.8595648476961046
3,20,d0,1,2186,1.5852414466424483
3,20,d0,1,2191,1.2010962134183825
3,20,d0,1,2196,2.291711327217717
3,20,d0,1,2201,0.6529598564315957
3,20,d0,1,2206,2.326699781768155
3,20,d0,1,2211,1.6833563179865108
3,20,d0,1,2216,1.268220035574433
3,20,d0,1,2221,1.9695881506180486
3,20,d0,1,2226,1.1165709304831173
3,20,d0,1,2231,1.9059695590939485
3,20,d0,1,2236,2.3494026609993126
3,20,d0,1,2241,5.117605704024867
3,20,d0,1,2246,3.635965795883295
3,20,d0,1,2251,5.623416216114186
3,20,d0,1,2256,2.337014858024423
3,20,d0,1,2261,3.126973116278653
3,20,d0,1,2266,1.0885989638934146
3,20,d0,1,2271,4.943005337392035
3,20,d0,1,2276,1.928367680061398
3,20,d0,1,2281,2.193401708986915
3,20,d0,1,2286,1.8382834639557524
3,20,d0,1,2291,2.628259116226045
3,20,d0,1,2296,4.02967323335217
3,20,d0,1,2301,4.65326199145515
3,20,d0,1,2306,1.7760987927121066
3,20,d0,1,2311,2.257873608902463
3,20,d0,1,2316,1.9429219183115947
3,20,d0,1,2321,2.8911999022512385
3,20,d0,1,2326,2.347022036895382
3,20,d0,1,2331,1.0623821505329814
3,20,d0,1,2336,5.050155672966708
3,20,d0,1,2341,1.3268068137074547
3,20,d0,1,2346,1.0260458702996995
3,20,d0,1,2351,1.016543165668234
3,20,d0,1,2356,2.112731846529927
3,20,d0,1,2361,2.9026400349653256
3,20,d0,1,2366,1.8211209864465923
3,20,d0,1,2371,1.1024925214093764
3,20,d0,1,2376,1.8498112900861552
3,20,d0,1,2381,2.4183524451713794
3,20,d0,1,2386,4.0299346581764315
3,20,d0,1,2391,2.0571890267327415
3,20,d0,1,2396,3.7245353929821157
3,20,d0,1,2401,2.564552273097606
3,20,d0,1,2406,1.8226285012624013
3,20,d0,1,2411,1.5047961986575982
3,20,d0,1,2416,2.575314028858645
3,20,d0,1,2421,3.2156490547630034
3,20,d0,1,2426,5.6285980641568285
3,20,d0,1,2431,2.1962879492190477
3,20,d0,1,2436,2.520924953756844
3,20,d0,1,2441,3.4914699638532274
3,20,d0,1,2446,3.998212108599639
3,20,d0,1,2451,3.737448082942837
3,20,d0,1,2456,1.709568296251875
3,20,d0,1,2461,0.9729229008013436
3,20,d0,1,2466,2.9212866444419503
3,20,d0,1,2471,0.7730316512346562
3,20,d0,1,2476,0.35295189658496867
3,20,d0,1,2481,0.9050827734804271
3,20,d0,1,2486,0.8134035513710549
3,20,d0,1,2491,3.1761723314961143
3,20,d0,1,2496,2.0529083291724275
3,20,d0,1,2501,3.4471884130121913
3,20,d0,1,2506,1.5950487248034202
3,20,d0,1,2511,2.583148243777116
3,20,d0,1,2516,1.8614244543155403
3,20,d0,1,2521,0.8963802115056487
3,20,d0,1,2526,3.4020291881512326
3,20,d0,1,2531,5.431720959628572
3,20,d0,1,2536,0.746444127187268
3,20,d0,1,2541,4.648710032054732
3,20,d0,1,2546,0.5712980982429672
3,20,d0,1,2551,2.664458206802422
3,20,d0,1,2556,3.810438820132284
3,20,d0,1,2561,4.923433560768509
3,20,d0,1,2566,2.385957124910224
3,20,d0,1,2571,2.105282839299047
3,20,d0,1,2576,3.4596469047365535
3,20,d0,1,2581,8.616043971767484
3,20,d0,1,2586,1.4066182406682046
3,20,d0,1,2591,3.5516056375228278
3,20,d0,1,2596,1.8190851495096678
3,20,d0,1,2601,1.2973197751299375
3,20,d0,1,2606,0.6354126475201142
3,20,d0,1,2611,1.016750688501212
3,20,d0,1,2616,4.148163966932958
3,20,d0,1,2621,3.9408164328507933
3,20,d0,1,2626,4.1703148423334335
3,20,d0,1,2631,2.1723200972905112
3,20,d0,1,2636,0.825145434135614
3,20,d0,1,2641,6.556963502171764
3,20,d0,1,2646,2.0715931108622976
3,20,d0,1,2651,0.7743221939913779
3,20,d0,1,2656,8.293803719395008
3,20,d0,1,2661,1.612800554436991
3,20,d0,1,2666,0.43047709694621494
3,20,d0,1,2671,2.453883988129384
3,20,d0,1,2676,1.1385258338009845
3,20,d0,1,2681,1.918264468182034
3,20,d0,1,2686,3.4909112509981592
3,20,d0,1,2691,1.8312523586960567
3,20,d0,1,2696,0.8115500873143169
3,20,d0,1,2701,1.0809022833280846
3,20,d0,1,2706,0.7236593603235296
3,20,d0,1,2711,3.790786508368391
3,20,d0,1,2716,1.5538062939889996
3,20,d0,1,2721,4.350516469523166
3,20,d0,1,2726,3.083630824648358
3,20,d0,1,2731,1.6378462057529348
3,20,d0,1,2736,3.842477274162415
3,20,d0,1,2741,2.8062727200770823
3,20,d0,1,2746,0.9190256897790743
3,20,d0,1,2751,1.8995933155011984
3,20,d0,1,2756,2.2356657673647464
3,20,d0,1,2761,0.8348168811516191
3,20,d0,1,2766,2.9862989763681616
3,20,d0,1,2771,1.4465122555120924
3,20,d0,1,2776,1.2962776989910558
3,20,d0,1,2781,1.052742668929794
3,20,d0,1,2786,2.456157661533124
3,20,d0,1,2791,4.744865463213235
3,20,d0,1,2796,2.924275974779073
3,20,d0,1,2801,2.653731345610175
3,20,d0,1,2806,1.4328604358999537
3,20,d0,1,2811,10.253679704836616
3,20,d0,1,2816,3.396534692817626
3,20,d0,1,2821,0.45377406363817635
3,20,d0,1,2826,1.1267761575248885
3,20,d0,1,2831,1.3254899115576675
3,20,d0,1,2836,0.7998507036652934
3,20,d0,1,2841,1.9186006889614597
3,20,d0,1,2846,1.7429787497363114
3,20,d0,1,2851,2.829430396482045
3,20,d0,1,2856,3.452903978969006
3,20,d0,1,2861,4.670851922318131
3,20,d0,1,2866,2.9257900947141446
3,20,d0,1,2871,3.757667123382415
3,20,d0,1,2876,0.5066856444373004
3,20,d0,1,2881,1.9376812593544888
3,20,d0,1,2886,2.6204858909066857
3,20,d0,1,2891,2.796152036194466
3,20,d0,1,2896,2.4076580667571776
3,20,d0,1,2901,2.6394335814303185
3,20,d0,1,2906,1.2701460436337602
3,20,d0,1,2911,7.536981222538346
3,20,d0,1,2916,0.8148062246845743
3,20,d0,1,2921,0.1468391942655514
3,20,d0,1,2926,1.2916643386084203
3,20,d0,1,2931,1.183681940145981
3,20,d0,1,2936,1.3342531871628083
3,20,d0,1,2941,2.5227727299440548
3,20,d0,1,2946,0.19723524519633
3,20,d0,1,2951,1.3027631105132382
3,20,d0,1,2956,1.5054350475766716
3,20,d0,1,2961,1.4321556214781128
3,20,d0,1,2966,1.380715887262461
3,20,d0,1,2971,4.167857758484914
3,20,d0,1,2976,1.524720469929164
3,20,d0,1,2981,0.841225510773391
3,20,d0,1,2986,1.470709672248043
3,20,d0,1,2991,0.5877228261765367
3,20,d0,1,2996,1.4385566880547485
3,20,d1,1,1,1.7230861714643908
3,20,d1,1,6,1.3807912577975543
3,20,d1,1,11,3.3036997121639593
3,20,d1,1,16,2.8030702878979556
3,20,d1,1,21,1.942807663903278
3,20,d1,1,26,2.159634444314169
3,20,d1,1,31,1.663848873456851
3,20,d1,1,36,2.644956093233634
3,20,d1,1,41,4.003769088757376
3,20,d1,1,46,2.022041136818818
3,20,d1,1,51,1.1771637723353356
3,20,d1,1,56,2.346322810377646
3,20,d1,1,61,3.135267509678167
3,20,d1,1,66,0.8152111934816944
3,20,d1,1,71,0.26456566561157024
3,20,d1,1,76,2.427022109359795
3,20,d1,1,81,1.3838796954459034
3,20,d1,1,86,1.7143483836267135
3,20,d1,1,91,1.731485000409986
3,20,d1,1,96,2.2119102785349187
3,20,d1,1,101,1.8910519364682359
3,20,d1,1,106,0.4636338420815418
3,20,d1,1,111,3.703868841027978
3,20,d1,1,116,1.845596400714092
3,20,d1,1,121,0.9450874044333069
3,20,d1,1,126,1.3259979772169312
3,20,d1,1,131,3.0262510362299757
3,20,d1,1,136,1.0167911896840234
3,20,d1,1,141,3.3610370297135477
3,20,d1,1,146,3.1227087200933146
3,20,d1,1,151,2.1367185712030636
3,20,d1,1,156,1.4431572105383563
3,20,d1,1,161,1.8833474269492667
3,20,d1,1,166,1.5440036493213734
