delta_true,N,order,replicate
2,20,d0,1
2,50,d0,1
2,100,d0,1
2,200,d0,1
2,20,d0,2
2,50,d0,2
2,100,d0,2
2,200,d0,2
2,20,d0,3
2,50,d0,3
2,100,d0,3
2,200,d0,3
2,20,d0,4
2,50,d0,4
2,100,d0,4
2,200,d0,4
2,20,d0,5
2,50,d0,5
2,100,d0,5
2,200,d0,5
2,20,d0,6
2,50,d0,6
2,100,d0,6
2,200,d0,6
2,20,d0,7
2,50,d0,7
2,100,d0,7
2,200,d0,7
2,20,d0,8
2,50,d0,8
2,100,d0,8
2,200,d0,8
2,20,d0,9
2,50,d0,9
2,100,d0,9
2,200,d0,9
2,20,d0,10
2,50,d0,10
2,100,d0,10
2,200,d0,10
2,20,d0,11
2,50,d0,11
2,100,d0,11
2,200,d0,11
2,20,d0,12
2,50,d0,12
2,100,d0,12
2,200,d0,12
2,20,d0,13
2,50,d0,13
2,100,d0,13
2,200,d0,13
2,20,d0,14
2,50,d0,14
2,100,d0,14
2,200,d0,14
2,20,d0,15
2,50,d0,15
2,100,d0,15
2,200,d0,15
2,20,d0,16
2,50,d0,16
2,100,d0,16
2,200,d0,16
2,20,d0,17
2,50,d0,17
2,100,d0,17
2,200,d0,17
2,20,d0,18
2,50,d0,18
2,100,d0,18
2,200,d0,18
2,20,d0,19
2,50,d0,19
2,100,d0,19
2,200,d0,19
2,20,d0,20
2,50,d0,20
2,100,d0,20
2,200,d0,20
2,20,d0,21
2,50,d0,21
2,100,d0,21
2,200,d0,21
2,20,d0,22
2,50,d0,22
2,100,d0,22
2,200,d0,22
2,20,d0,23
2,50,d0,23
2,100,d0,23
2,200,d0,23
2,20,d0,24
2,50,d0,24
2,100,d0,24
2,200,d0,24
2,20,d0,25
2,50,d0,25
2,100,d0,25
2,200,d0,25
2,20,d0,26
2,50,d0,26
2,100,d0,26
2,200,d0,26
2,20,d0,27
2,50,d0,27
2,100,d0,27
2,200,d0,27
2,20,d0,28
2,50,d0,28
2,100,d0,28
2,200,d0,28
2,20,d0,29
2,50,d0,29
2,100,d0,29
2,200,d0,29
2,20,d0,30
2,50,d0,30
2,100,d0,30
2,200,d0,30
2,20,d0,31
2,50,d0,31
2,100,d0,31
2,200,d0,31
2,20,d0,32
2,50,d0,32
2,100,d0,32
2,200,d0,32
2,20,d0,33
2,50,d0,33
2,100,d0,33
2,200,d0,33
2,20,d0,34
2,50,d0,34
2,100,d0,34
2,200,d0,34
2,20,d0,35
2,50,d0,35
2,100,d0,35
2,200,d0,35
2,20,d0,36
2,50,d0,36
2,100,d0,36
2,200,d0,36
2,20,d0,37
2,50,d0,37
2,100,d0,37
2,200,d0,37
2,20,d0,38
2,50,d0,38
2,100,d0,38
2,200,d0,38
2,20,d0,39
2,50,d0,39
2,100,d0,39
2,200,d0,39
2,20,d0,40
2,50,d0,40
2,100,d0,40
2,200,d0,40
2,20,d0,41
2,50,d0,41
2,100,d0,41
2,200,d0,41
2,20,d0,42
2,50,d0,42
2,100,d0,42
2,200,d0,42
2,20,d0,43
2,50,d0,43
2,100,d0,43
2,200,d0,43
2,20,d0,44
2,50,d0,44
2,100,d0,44
2,200,d0,44
2,20,d0,45
2,50,d0,45
2,100,d0,45
2,200,d0,45
2,20,d0,46
2,50,d0,46
2,100,d0,46
2,200,d0,46
2,20,d0,47
2,50,d0,47
2,100,d0,47
2,200,d0,47
2,20,d0,48
2,50,d0,48
2,100,d0,48
2,200,d0,48
2,20,d0,49
2,50,d0,49
2,100,d0,49
2,200,d0,49
2,20,d0,50
2,50,d0,50
2,100,d0,50
2,200,d0,50
